features,assay1,assay2,assay3,assay4,assay5,assay6,assay7,assay8,assay9,assay10,assay11,assay12,assay13,assay14,assay15,assay16,assay17,assay18,assay19,assay20,assay21,assay22,assay23,assay24,assay25,assay26,assay27,assay28,assay29,assay30,assay31,assay32,assay33,assay34,assay35,assay36,assay37,assay38,assay39,assay40,assay41,assay42,assay43,assay44,assay45,assay46,assay47,assay48,assay49,assay50
Chi2v,0.264517959009701,0.20566179941154922,0.1508670418248474,0.0628628408413905,0.22461767465930055,0.06972971080012587,0.28499117762809323,0.14005610045560807,0.39975791982471964,0.1778399858554353,0.5378091237391491,0.934155393358834,0.15587519780513523,0.27877669797326465,0.22280505322956987,0.13412203578607676,0.2279289466153287,0.5777783389660283,0.4182971291454355,0.14440980036471787,0.17705797069964457,0.06313512309887687,0.20612681475469857,0.17243582960892548,0.8866742955003792,0.5820762284030836,0.3761791311155033,0.26859510134541975,0.4060518536921439,0.16301346502347144,0.5613471387095412,0.22351083129402297,0.18939660453285936,0.2851814105903646,0.2155947890079825,0.21722291048067488,0.3202361519433194,0.12752252252296203,0.1429981259337396,0.10521836525561339,0.166843353188951,0.2180223326234278,0.3444402687429468,0.3679916879993609,0.20000471355055138,0.16748474512529787,0.33689388620814437,0.31579755262969417,0.21676730159440677,0.2686666822048944
SMR_VSA10,0.31263839935030757,0.5484088013171535,0.2987995718946134,0.3350538536499182,0.24823947590815082,0.5358516998473359,0.3868841524814168,0.3011256388728699,0.3241018817547366,0.14026025950771173,0.7718989445766705,0.5462430728429333,0.1441751718372774,0.41370162637885155,0.452035347115166,0.0873185351162818,0.42258123204849884,0.2367741615651496,0.5133418525270989,0.4583497331642411,0.20178377162699226,0.20709105063887287,0.23814905850875284,0.5988727388903824,0.34669111300734573,0.20508622838483218,1.148291715709036,0.18337821118309355,0.5200403257756551,0.3519116951861479,0.4093222790315151,0.7886319082016705,0.3089654556052756,0.6531246812117704,0.18257173901855575,0.26552631248097,0.6444463097138241,0.03264767076340052,0.40399575228221557,0.292019274955534,0.358900745941833,0.37783515530346723,0.45855275301375525,0.46863272136562123,0.6898603972091567,0.22620116226623033,0.3150164534407921,0.25006039042996286,0.3883922659423298,0.19232496258958584
SlogP_VSA2,0.7854758242316867,0.8161363291200268,0.455629676258249,0.3190663509609562,0.8741993467130891,1.049886988371229,0.4646651002154128,0.49008111219221895,0.39721929035661635,0.44261249799766456,1.0242067453149157,0.9168271299992357,0.3531188957747494,1.132880731266329,0.7355557720770287,0.5063737531515533,0.5758898638822947,0.9210181366712631,0.7980602715022856,0.9157260568873535,1.1782928426174728,0.9653912005541576,0.2807854973921837,0.6223340704673214,0.6835228755525685,0.39921174961415434,0.44894471356824317,0.6870038294658787,0.5753543447760168,0.56788957001526,0.512478697709337,1.0080044134312445,1.5204529039336376,0.9816359581065356,0.30752920154671,0.29278107786983515,0.4217624869232418,0.2820309789669987,0.8302681907945647,0.3644667647671083,0.5956247229496692,0.42861174809284386,0.22923007581058968,0.6713672480912434,0.9222048431604618,1.2632277579427007,0.96585443705024,0.9572487599521582,0.6780935070845313,0.2668159023288018
HallKierAlpha,0.4125910672990356,0.32366493680085784,0.2041211917827379,0.26807339196216745,0.1963488813753013,0.4081186671060738,0.13769634264956018,0.3976583560180206,0.10651200120259188,0.13283377018695736,0.9071514068971652,0.3164443281255432,0.25858161014333836,0.30682740536250847,0.40214697535379473,0.08654775893488784,0.3252656014004276,0.3768328923513805,0.22704401436143495,0.13818842984478452,0.09475836836428916,0.500101746207829,0.219841316760073,0.3040350468735666,0.2701892513387939,0.40436829772973437,0.2102992779203749,0.2504244657263232,0.3069695077350606,0.24969272301273424,0.17318120346871466,0.1891089507499329,0.24801515090921294,0.4284509678512333,0.2740041126502904,0.09253630375665435,0.4806742955349318,0.14319860827629785,0.33698059307681366,0.20700282244690352,0.4171655589867065,0.29563701908346945,0.2546095488437431,0.24635086003761,0.23147584703007698,0.15759363626110148,0.29971393422011994,0.2011123977369628,0.23664535138547857,0.26023781267683144
SMR_VSA5,0.46372228754709754,1.0583870700180726,0.5543860517075505,0.21114236839349543,0.19000197205685257,0.3274870587759615,0.774866489989894,0.2548926649056941,0.7330295135759713,0.31025689980322635,0.3085813724994543,0.5354253788152905,0.19520878114915738,0.08058198266310765,0.6277522209854044,0.22310417375450023,0.5821262544127785,0.9204271411727702,1.1926876898509295,0.9137709980619405,1.0205554531779568,0.13463047731184608,0.35997580484378244,0.6720065574009417,0.3099144918790744,0.8814790479924646,1.3095076292502827,0.2797578093772471,1.5092356660610395,0.7064334182367654,0.9988448549132162,0.8654318642522625,0.7516117594442318,0.8693351442614157,0.9031701459174706,0.4052421023405978,1.2516767417979697,0.43849269819745995,1.2112727126673213,0.7451240672532521,0.44035328828831055,0.50245467892359,0.8512945746274893,0.9014679733959658,1.9034299467678495,0.13128384907796667,0.15292706794949068,0.10035779511682952,0.4378727794033157,0.33023668688000873
VSA_EState7,0.5465098713947868,1.0476643157323522,0.5313784874149285,0.5232737439599486,0.5132813266059723,0.7852586454565131,0.5324127667335297,0.3257522537409685,0.8929006003840876,0.7782262341224382,0.5537745822176404,0.3137746979005209,0.2637795810773678,0.5688114363890447,0.7546126535395997,0.4628930447608117,0.829989616299492,0.8922492195514378,0.9607334948085404,0.6976961291446304,0.7615226552670764,0.14738347209501404,0.3832668051237992,0.4793952465360631,1.097646133712028,0.4665245050335276,0.8843111970389845,0.37391617038838604,1.1638664384576987,0.25790211000160834,0.922551376221611,0.6801050937584023,0.7306736039377907,0.7513484225880035,0.7098822851389116,0.5319530493895122,0.7036458007050975,0.420415363924323,1.011652279444418,0.43232508256735613,0.614832191033397,0.42412211499738656,0.949724625499614,0.7208637852342397,0.4969422632788526,0.33458338310280683,0.3273379978541922,0.2727909683018028,0.8122771491534129,0.31682747429066327
FractionCSP3,0.42693865299579903,0.22599291853648235,0.537781295187402,0.3146226180284277,0.13408660717786075,0.37158077044611704,0.4333012254510834,0.21475003723687003,0.73139373399786,0.30613901108592967,0.3876349872603182,0.11650084726219948,0.14105797075631574,0.30163086130117195,0.42143498566619925,0.32198943390757145,0.538851297599899,0.8706518991421713,0.3045440895979452,0.6658699668219858,0.5657062307354913,0.22997798609449008,0.26793394676543814,0.3394799062054338,0.7266858675704801,0.29326536571698536,0.37845784223032164,0.39583546652232887,0.477019813345935,0.3333021012497272,0.7759782410472548,0.6518568931977736,0.8172999951058995,0.43317652363797404,0.7415686244052871,0.3410563737186442,0.44868189229608985,0.221512553491151,0.6686020829857873,0.084363513600437,0.34865362478248707,0.5185709790101904,0.7654442782105988,0.6478751482263424,0.7334365144572781,0.2393212544763006,0.13118711820004392,0.24833252215777626,0.3351210580424574,0.34082236415189654
SlogP_VSA10,0.2723510834583701,0.33308879951521375,0.3226775175508425,0.24721852537726896,0.17120182176091886,0.7678950202169027,0.33168567373842694,0.04635377112507626,0.457449231865988,0.18428033861121568,0.30077729104910367,0.6368323009752939,0.18146728546377372,0.4116446005609027,0.2958408206695239,0.23981993427865222,0.3079852831108357,0.5640517657411283,0.5023215191911319,0.3077696136595199,0.41833325052600034,0.27141924992339617,0.2586707440355861,0.6004347078297285,0.26268754385573817,0.2622762133293759,0.4627200394098641,0.21902952655972568,0.6620585537805612,0.2351671606336136,0.3801530249396653,0.2891727893505404,0.2935601980006778,0.43202592627783254,0.3947755780787824,0.29374265495649043,0.46216141469620303,0.18360184354889902,0.3522156371570649,0.35404329746861035,0.20563075110540482,0.45643522425016947,0.5578865910237584,0.20097597418266183,0.3040343393363551,0.44701742824830226,0.3617828251977221,0.35500443124326314,0.20971585604690418,0.1825920681697291
BCUT2D_LOGPLOW,0.3252009318605297,0.4909018048655135,0.3245012549068265,0.22021269715609076,0.05337506592837295,0.14684394361179945,0.3404249134209583,0.06393352315126766,0.607445095482117,0.32078264693749947,0.19323565652239902,0.3244014850272765,0.0490058983107722,0.18449931509747178,0.28931249839332,0.18490049414141135,0.21535273322059806,0.7017177621054305,0.46912215667551643,0.4566809543914861,0.5929335129838961,0.12655955361212284,0.47695757560075175,0.4924254848144186,0.45645814733295004,0.34805756065818605,0.44509986039718746,0.4468760008485937,0.655085593843085,0.3992202280711706,0.40909685943815016,0.2875445036507741,0.47433917927093,0.5961284330942602,0.5560281295070123,0.26695176224276795,0.5040920544600735,0.20182521461791328,0.42806160125528675,0.23647843317434658,0.5698480713289602,0.24442046231983366,0.2917251790077551,0.4222072437915811,0.9397337056532855,0.18450087364036916,0.11459578977605715,0.2257888191864045,0.26213528809283393,0.2925903738375328
VSA_EState2,0.5694394188462578,0.2267638881565352,0.3191415361110252,0.5880783868279983,0.5764364398131454,0.5890342457753082,0.4333873077672494,0.3694342812765864,0.5847691703945267,0.4520260892428357,0.8140514341501104,0.211129191502669,0.7292456410978918,0.8662776974876432,0.5418366368374333,0.365109273460297,0.5364966868373213,0.8163967123529143,0.4732564205556994,0.5871373774004962,0.4894414024717002,0.6235277278244779,0.671739269029727,0.6788485898719493,0.7889627407921064,0.5715329608500812,0.4061619977283747,0.5999101825821552,0.40841312763873805,0.48102222565948943,0.8401907164993971,0.42663927786662165,0.4169550023397958,0.294634862267241,0.21931531496840156,0.16126991597957446,0.7935339344732747,0.3098751516274469,0.5649867844190001,0.35991627246805596,0.39347931493276406,0.5549628198657932,0.6071583686077423,0.4193224500459092,0.7890117592736426,0.48071887323883783,0.4409232184883705,0.4650697663730223,0.17300400830641938,0.6012051806361336
FpDensityMorgan2,0.36692884038703893,0.5443936627300022,0.26756770210884095,0.5052158219544018,0.3142315857588091,0.7711806815577631,0.3671843007846784,0.16022373883253943,0.6444651991482988,0.5811420973588144,0.550435443256075,0.2706418603070002,0.1300490720343166,0.6261350254327759,0.41724493960979,0.19657507957331033,0.3021180388186576,0.5663390486465817,0.31070999558329665,0.20781014827545669,0.4123702422381572,0.1728324925995413,0.2852925959759373,0.4193512681808363,0.7686880927555458,0.3097056207194299,0.16737539687439434,0.5810688286097183,0.2150815366687291,0.45247403225011223,0.4458638639547658,0.4684314823087103,0.4664918874521004,0.41642570507846777,0.5616031353686606,0.11725872271941384,0.8165980860564701,0.18612758348425443,0.1524021692513649,0.17512292692030235,0.3663716920074545,0.2646765601256259,0.44873075084126174,0.13557824136406568,0.3090625788264254,0.2654199466668915,0.31377283220633545,0.2427505115867883,0.4916535198994775,0.34389805213099545
fr_phenol_noOrthoHbond,0.5129248665191127,0.6360915515620512,1.0961261941745724,0.5191993813294499,0.39598625330879067,1.029582833692046,0.430747804989778,0.411690853134541,0.9462985799405084,0.7098325850657706,0.5227565334386959,0.4612475545318979,0.17678641498060185,0.5378103259900291,0.7398022973975145,0.40642609528873364,0.18685149899445302,1.2139973418752836,0.445627973194188,0.681626570431901,0.5425011786525743,0.34765007037392076,0.7547525847956256,0.9172956890267698,0.48154231284556903,0.042795294934798354,0.5553045846547431,1.0926152939058547,0.8036226228665864,0.36005100248955535,0.9308092909530368,0.753345128953581,0.9458641029574484,0.9533969809366323,0.6403309874765355,0.19266002198232685,0.9875018660512562,0.3089578796517917,0.7703750223220818,0.13551593865217293,1.2047581686329978,0.3847601876784815,0.6128600401164637,0.7491543801799413,0.9439868919228271,0.6318252623894637,0.6155366044370254,0.5057731589840926,0.7500085671778882,0.5889116765263942
SlogP_VSA1,0.3180886257385763,0.2799579522436286,0.5962057411438749,0.5125387247998912,0.3002263244436232,0.9514668003148701,0.32554384127391806,0.33009926478420043,0.6815246373677304,0.7646332405941652,0.5463422347503533,0.5514180638130142,0.14925564718534484,1.3764193890476428,0.5977749930834186,0.22689251547758332,0.36825885787607915,0.21247148801554555,0.2814321383709779,0.20433605035877211,0.4469943478346301,0.169633248455016,0.5139028389039344,0.19270098543619799,0.8475956543499658,0.2581169908373979,0.9184926963808999,0.8778646916863133,0.4275314321425398,0.2666025826771758,0.3490516687031039,0.6928736482027675,0.46983315567799017,0.3907564077489296,0.39885776329786526,0.12109559883762364,0.5459231766584498,0.21295197587622955,0.3323135062746599,0.16202256094713924,0.6016869871355005,0.1580441874026422,0.330290474285375,0.43126051172204444,0.488797072162118,0.5933229905727622,0.7636498570406064,0.4225553239189502,1.5355072776886431,0.262103491006592
PEOE_VSA1,0.25457461916754354,0.09033293107232561,0.23108121640649784,0.2362466058107747,0.27181860155129567,0.5939104921631999,0.3006873011459007,0.10919493841299781,0.18881253157758396,0.09375979247474889,0.3454689563417248,0.2783609616385309,0.12151234483403332,0.3385053618366124,0.11686284580517092,0.21102781003113863,0.14265044798480112,0.1687568320413067,0.3888693376202251,0.09096766528927663,0.31307217208398486,0.1091106483053939,0.2888221411004803,0.046375092090612725,0.38678008951606824,0.2180054024614022,0.41133697726493634,0.32443700738876585,0.17190554933659594,0.1590444430954439,0.18394855477407646,0.19587385110399042,0.27103227787136386,0.22461703825092477,0.15076479436314547,0.11470125073256551,0.18664878834043555,0.03150651170443418,0.13538791412318546,0.2112836754688295,0.5532439189314948,0.27188154675096776,0.20263766680019923,0.25926656519353175,0.18241174251984205,0.20911149012534908,0.3153287845128284,0.22452235636541165,0.27247970493179086,0.12956573068380206
fr_Ar_N,0.3603056027182324,0.2672293998121009,0.31400994538126203,0.3792427387553931,0.4624989808855008,0.34254710076198464,0.0657983631069587,0.29166811988991265,0.24566549821542139,0.36749886713682595,0.6347456462326504,0.16136725087501086,0.19594162618031027,0.6719590134910816,0.24284126812181545,0.21486721499882244,0.12522243639905536,0.3444438745538557,0.4838233859826788,0.13856428146339203,0.31192583833995907,0.486421281076683,0.5055739642969581,0.5218378439462605,0.09915038429303652,0.2943155933720069,0.8430678588204745,0.4808351169141803,0.531183409796556,0.27765754882820737,0.4977071912999123,0.4705982960697668,0.2289952538837861,0.5355181024858775,0.2906891214736682,0.07521876971273758,0.9506422168609919,0.07777375085196739,0.24986164256629134,0.4338130859397381,0.25357461169551043,0.2937527197529656,0.23888296600603015,0.42435886478155693,0.3981453811259187,0.3669540625443693,0.6115951803607965,0.4648589291705802,0.3923050388569182,0.31084710020939094
BCUT2D_CHGLO,0.08469868648623567,0.6113316041162952,0.2762073619527398,0.34838180593312157,0.1535743004143991,0.4162472560784625,0.42334476206657295,0.33623970744958465,0.32896456527562135,0.22144216835919583,0.22205055574931393,0.27919123260968104,0.11995569536697763,0.15143299982392583,0.08689402743483844,0.2943100982473517,0.42816965008735386,0.5333375762804473,0.5876825954465057,0.4539191320575114,0.19265426808884473,0.3615907944618922,0.3745676622543669,0.6090875299795918,0.1678376187111435,0.09319421016478399,0.23759123842641347,0.5745208101655981,0.34983967649215436,0.18098711915089702,0.44952429951812567,0.30720176464426197,0.36342152950368145,0.3426896927018731,0.6038673352016881,0.3306205160407275,0.23742080134389054,0.1976947156488203,0.3669164239527589,0.14064443242161692,0.3499655497003269,0.37308259716312586,0.32379591718731293,0.30055840216726654,0.5069205372287457,0.3937894567617482,0.37771201495664003,0.20963499915019526,0.27210901077383876,0.4045354163345557
fr_ether,0.4791234783205026,0.5349923951899167,0.11095517138052968,0.2653233486156665,0.4103074269478018,0.5567168048708593,0.25675318120341506,0.3281851236172646,0.6385257234629828,0.37917815278294215,1.0868848197700962,0.5811705861453633,0.35999699835109533,1.2249561509869937,0.20117827326113108,0.23496612116501553,0.4993155770794167,0.2322967313808134,0.47818814996395886,0.5718108438586533,0.2949158300109732,0.5555929319976389,0.4963597247292557,0.2407891250519099,0.2289374956590035,0.2782383587621561,0.22142096179454468,0.14393025023677514,0.5267107476391478,0.3879805697010913,0.7201903405521943,0.5819531146138951,0.5678405857687396,0.4928627898463051,0.2542229770050368,0.18562237466873077,0.38325714539933897,0.1250706107914828,0.2456888674853904,0.16505346456736072,0.1530871809504172,0.11921309821599964,0.6604933661284237,0.31855902480263276,0.23910565086152866,0.31321003343745984,0.18921845375377433,0.2937347369361263,0.4012945643918144,0.4227727303996948
EState_VSA1,0.34938780389224183,0.20623215073960224,0.4831085168761101,0.39353894206946916,0.35986159218614566,0.65837449534487,0.15935619738734358,0.26547265265668446,0.7166539259927703,0.32896897347683035,1.0229024767645054,0.22723706008606287,0.41385866677303085,0.9720053400706661,0.3427968422127592,0.19216787856160072,0.2192654522879655,0.5062416971643667,0.20854594825706854,0.29334019154862834,0.22587397632414447,0.2851503306989819,0.4053155009054718,0.1548681815353364,0.9574144614082127,0.15774255906501894,0.5467763225166917,0.6537949992352633,0.6482940351748487,0.3877488751812564,0.3199714259129939,0.3442723103978606,0.4397527940028529,0.35444377892422285,0.3203607583797361,0.08662014135717078,0.4643717177308311,0.2631698232824569,0.08075653347497154,0.17034778158798117,0.3227971944627178,0.23422648771323,0.3374210520622306,0.2137883978937863,0.2547106311104848,0.1707244979905619,0.12360307106875865,0.20652586587431437,0.8560627098989795,0.22781963466964433
MinPartialCharge,0.29010381263368645,0.4034505250665085,0.2554414198037862,0.2912876844554196,0.1973078004649508,0.22850288652177522,0.1301334878311074,0.056177682074751156,0.23194003260282736,0.17754859587550834,0.1900139369402144,0.3585446920092782,0.13185951717250477,0.2563239842806935,0.2959978497378196,0.26992574208898085,0.296985981263321,0.1501447938856409,0.34281250621741977,0.31649060718349753,0.14081695180762244,0.24488877366281483,0.10541621810042341,0.33402754284361647,0.17724303054545296,0.3261804121754907,0.13540368310206435,0.24753628836231562,0.29481505226945764,0.24377271971144215,0.16577110700935596,0.2453188627256194,0.37818650190326747,0.08762053958078878,0.5346621395838486,0.2233528432338058,0.5839853454743763,0.14450954001790556,0.3768837579466462,0.1535669845322442,0.14792235610653587,0.32204475859637244,0.4384448761560031,0.38426050291787306,0.2872846083963595,0.3639467061002146,0.2999510659017427,0.243083864006337,0.13134449021488565,0.23259615475073633
