,mean,sd,hdi_3%,hdi_97%
"beta_protocol[16, beta_34]",-0.305,0.087,-0.452,-0.131
"beta_protocol[16, beta_35]",-0.098,0.067,-0.229,0.023
"beta_protocol[16, beta_36]",0.211,0.088,0.045,0.371
"beta_protocol[16, beta_37]",-0.032,0.06,-0.154,0.075
"beta_protocol[16, beta_38]",-0.098,0.061,-0.209,0.021
"beta_protocol[16, beta_39]",-0.077,0.031,-0.135,-0.016
"beta_protocol[28, beta_0]",-0.23,0.057,-0.334,-0.117
"beta_protocol[28, beta_1]",-0.25,0.072,-0.38,-0.116
"beta_protocol[28, beta_2]",-0.129,0.051,-0.215,-0.025
"beta_protocol[28, beta_3]",0.168,0.055,0.06,0.266
"beta_protocol[28, beta_4]",-0.251,0.049,-0.338,-0.155
"beta_protocol[28, beta_5]",-0.253,0.058,-0.36,-0.142
"beta_protocol[28, beta_6]",-0.297,0.068,-0.439,-0.176
"beta_protocol[28, beta_7]",0.048,0.082,-0.101,0.202
"beta_protocol[28, beta_8]",-0.367,0.058,-0.472,-0.26
"beta_protocol[28, beta_9]",0.341,0.055,0.237,0.445
"beta_protocol[28, beta_10]",-0.099,0.063,-0.224,0.023
"beta_protocol[28, beta_11]",0.298,0.105,0.1,0.496
"beta_protocol[28, beta_12]",0.172,0.059,0.063,0.289
"beta_protocol[28, beta_13]",0.418,0.103,0.23,0.618
"beta_protocol[28, beta_14]",-0.028,0.055,-0.122,0.085
"beta_protocol[28, beta_15]",-0.101,0.053,-0.197,0.006
"beta_protocol[28, beta_16]",0.413,0.065,0.284,0.524
"beta_protocol[28, beta_17]",0.025,0.093,-0.163,0.213
"beta_protocol[28, beta_18]",0.374,0.037,0.304,0.442
"beta_protocol[28, beta_19]",-0.048,0.088,-0.208,0.128
"beta_protocol[28, beta_20]",0.192,0.045,0.115,0.278
"beta_protocol[28, beta_21]",-0.499,0.108,-0.693,-0.301
"beta_protocol[28, beta_22]",0.115,0.067,-0.015,0.238
"beta_protocol[28, beta_23]",-0.017,0.064,-0.129,0.111
"beta_protocol[28, beta_24]",0.369,0.075,0.225,0.506
"beta_protocol[28, beta_25]",0.607,0.128,0.362,0.838
"beta_protocol[28, beta_26]",0.158,0.054,0.057,0.267
"beta_protocol[28, beta_27]",-0.005,0.07,-0.138,0.122
"beta_protocol[28, beta_28]",0.445,0.064,0.333,0.576
"beta_protocol[28, beta_29]",0.34,0.058,0.238,0.451
"beta_protocol[28, beta_30]",-0.378,0.081,-0.535,-0.234
"beta_protocol[28, beta_31]",0.494,0.109,0.281,0.688
"beta_protocol[28, beta_32]",-0.278,0.067,-0.405,-0.153
"beta_protocol[28, beta_33]",-0.088,0.108,-0.286,0.113
"beta_protocol[28, beta_34]",-0.131,0.073,-0.263,0.011
"beta_protocol[28, beta_35]",-0.098,0.071,-0.233,0.035
"beta_protocol[28, beta_36]",-0.009,0.075,-0.159,0.131
"beta_protocol[28, beta_37]",0.005,0.055,-0.107,0.101
"beta_protocol[28, beta_38]",-0.02,0.067,-0.15,0.099
"beta_protocol[28, beta_39]",-0.078,0.034,-0.15,-0.017
"beta_protocol[41, beta_0]",-0.241,0.055,-0.346,-0.138
"beta_protocol[41, beta_1]",0.04,0.069,-0.089,0.165
"beta_protocol[41, beta_2]",-0.142,0.045,-0.227,-0.056
"beta_protocol[41, beta_3]",0.177,0.053,0.071,0.268
"beta_protocol[41, beta_4]",-0.265,0.044,-0.346,-0.178
"beta_protocol[41, beta_5]",-0.163,0.052,-0.258,-0.062
"beta_protocol[41, beta_6]",-0.303,0.059,-0.413,-0.19
"beta_protocol[41, beta_7]",-0.035,0.083,-0.184,0.13
"beta_protocol[41, beta_8]",-0.363,0.056,-0.466,-0.249
"beta_protocol[41, beta_9]",0.325,0.046,0.24,0.414
"beta_protocol[41, beta_10]",-0.153,0.058,-0.271,-0.053
"beta_protocol[41, beta_11]",0.074,0.104,-0.122,0.257
"beta_protocol[41, beta_12]",0.169,0.057,0.068,0.289
"beta_protocol[41, beta_13]",0.473,0.102,0.289,0.663
"beta_protocol[41, beta_14]",-0.021,0.05,-0.115,0.072
"beta_protocol[41, beta_15]",-0.122,0.052,-0.234,-0.033
"beta_protocol[41, beta_16]",0.442,0.061,0.326,0.559
"beta_protocol[41, beta_17]",0.081,0.095,-0.063,0.277
"beta_protocol[41, beta_18]",0.382,0.038,0.313,0.453
"beta_protocol[41, beta_19]",-0.034,0.078,-0.194,0.101
"beta_protocol[41, beta_20]",0.174,0.042,0.101,0.261
"beta_protocol[41, beta_21]",-0.354,0.106,-0.542,-0.146
"beta_protocol[41, beta_22]",0.037,0.064,-0.091,0.152
"beta_protocol[41, beta_23]",-0.024,0.066,-0.148,0.092
"beta_protocol[41, beta_24]",0.361,0.065,0.237,0.477
"beta_protocol[41, beta_25]",0.631,0.111,0.43,0.851
"beta_protocol[41, beta_26]",0.179,0.045,0.1,0.272
"beta_protocol[41, beta_27]",0.531,0.124,0.304,0.772
"beta_protocol[41, beta_28]",0.421,0.062,0.295,0.534
"beta_protocol[41, beta_29]",0.324,0.054,0.227,0.424
"beta_protocol[41, beta_30]",-0.481,0.079,-0.63,-0.33
"beta_protocol[41, beta_31]",0.553,0.101,0.359,0.744
"beta_protocol[41, beta_32]",-0.235,0.062,-0.346,-0.116
"beta_protocol[41, beta_33]",-0.266,0.099,-0.446,-0.087
"beta_protocol[41, beta_34]",0.029,0.069,-0.101,0.154
"beta_protocol[41, beta_35]",-0.056,0.071,-0.189,0.072
"beta_protocol[41, beta_36]",0.024,0.075,-0.112,0.173
"beta_protocol[41, beta_37]",0.007,0.049,-0.083,0.098
"beta_protocol[41, beta_38]",0.021,0.061,-0.087,0.139
"beta_protocol[41, beta_39]",-0.059,0.034,-0.122,0.004
"beta_protocol[11, beta_0]",-0.106,0.054,-0.203,-0.006
"beta_protocol[11, beta_1]",0.26,0.056,0.155,0.371
"beta_protocol[11, beta_2]",-0.036,0.058,-0.139,0.079
"beta_protocol[11, beta_3]",0.125,0.055,0.022,0.234
"beta_protocol[11, beta_4]",-0.124,0.046,-0.207,-0.034
"beta_protocol[11, beta_5]",-0.031,0.052,-0.126,0.065
"beta_protocol[11, beta_6]",-0.189,0.059,-0.3,-0.076
"beta_protocol[11, beta_7]",-0.31,0.071,-0.451,-0.185
"beta_protocol[11, beta_8]",-0.18,0.062,-0.3,-0.067
"beta_protocol[11, beta_9]",0.261,0.052,0.165,0.361
"beta_protocol[11, beta_10]",-0.234,0.055,-0.333,-0.123
"beta_protocol[11, beta_11]",-0.095,0.09,-0.268,0.075
"beta_protocol[11, beta_12]",0.069,0.057,-0.035,0.181
"beta_protocol[11, beta_13]",0.166,0.067,0.036,0.285
"beta_protocol[11, beta_14]",0.075,0.048,-0.017,0.166
"beta_protocol[11, beta_15]",0.026,0.057,-0.077,0.128
"beta_protocol[11, beta_16]",0.358,0.058,0.248,0.464
"beta_protocol[11, beta_17]",0.46,0.094,0.29,0.636
"beta_protocol[11, beta_18]",0.22,0.044,0.135,0.3
"beta_protocol[11, beta_19]",0.012,0.074,-0.136,0.146
"beta_protocol[11, beta_20]",0.099,0.041,0.025,0.179
"beta_protocol[11, beta_21]",-0.183,0.113,-0.402,0.015
"beta_protocol[11, beta_22]",0.036,0.056,-0.078,0.135
"beta_protocol[11, beta_23]",-0.075,0.065,-0.196,0.052
"beta_protocol[11, beta_24]",0.24,0.056,0.137,0.349
"beta_protocol[11, beta_25]",0.326,0.105,0.135,0.517
"beta_protocol[11, beta_26]",0.093,0.046,0.006,0.18
"beta_protocol[11, beta_27]",0.365,0.095,0.187,0.53
"beta_protocol[11, beta_28]",0.388,0.06,0.268,0.496
"beta_protocol[11, beta_29]",0.266,0.051,0.167,0.36
"beta_protocol[11, beta_30]",-0.604,0.074,-0.742,-0.463
"beta_protocol[11, beta_31]",0.346,0.089,0.19,0.524
"beta_protocol[11, beta_32]",-0.175,0.048,-0.261,-0.085
"beta_protocol[11, beta_33]",-0.196,0.088,-0.373,-0.04
"beta_protocol[11, beta_34]",0.107,0.063,0.0,0.232
"beta_protocol[11, beta_35]",-0.05,0.067,-0.175,0.071
"beta_protocol[11, beta_36]",-0.196,0.074,-0.34,-0.062
"beta_protocol[11, beta_37]",-0.043,0.053,-0.148,0.049
"beta_protocol[11, beta_38]",0.13,0.054,0.024,0.229
"beta_protocol[11, beta_39]",-0.099,0.036,-0.16,-0.027
"beta_protocol[25, beta_0]",-0.258,0.053,-0.353,-0.149
"beta_protocol[25, beta_1]",-0.265,0.073,-0.403,-0.128
"beta_protocol[25, beta_2]",-0.17,0.049,-0.271,-0.082
"beta_protocol[25, beta_3]",0.179,0.05,0.08,0.265
"beta_protocol[25, beta_4]",-0.273,0.043,-0.353,-0.185
"beta_protocol[25, beta_5]",-0.209,0.062,-0.327,-0.091
"beta_protocol[25, beta_6]",-0.28,0.064,-0.388,-0.15
"beta_protocol[25, beta_7]",0.128,0.08,-0.028,0.274
"beta_protocol[25, beta_8]",-0.359,0.06,-0.481,-0.251
"beta_protocol[25, beta_9]",0.303,0.052,0.198,0.392
"beta_protocol[25, beta_10]",-0.017,0.066,-0.135,0.111
"beta_protocol[25, beta_11]",0.233,0.101,0.043,0.427
"beta_protocol[25, beta_12]",0.2,0.061,0.083,0.322
"beta_protocol[25, beta_13]",0.76,0.12,0.539,0.99
"beta_protocol[25, beta_14]",-0.015,0.054,-0.116,0.084
"beta_protocol[25, beta_15]",-0.15,0.059,-0.272,-0.046
"beta_protocol[25, beta_16]",0.465,0.071,0.335,0.6
"beta_protocol[25, beta_17]",-0.063,0.092,-0.246,0.089
"beta_protocol[25, beta_18]",0.382,0.037,0.308,0.448
"beta_protocol[25, beta_19]",-0.18,0.094,-0.355,-0.012
"beta_protocol[25, beta_20]",0.194,0.047,0.119,0.29
"beta_protocol[25, beta_21]",-0.4,0.103,-0.592,-0.205
"beta_protocol[25, beta_22]",0.135,0.066,0.008,0.258
"beta_protocol[25, beta_23]",-0.04,0.064,-0.157,0.082
"beta_protocol[25, beta_24]",0.433,0.076,0.277,0.568
"beta_protocol[25, beta_25]",0.892,0.107,0.693,1.094
"beta_protocol[25, beta_26]",0.151,0.045,0.067,0.234
"beta_protocol[25, beta_27]",0.238,0.098,0.068,0.441
"beta_protocol[25, beta_28]",0.485,0.06,0.38,0.602
"beta_protocol[25, beta_29]",0.323,0.058,0.205,0.427
"beta_protocol[25, beta_30]",-0.421,0.081,-0.568,-0.264
"beta_protocol[25, beta_31]",0.708,0.108,0.509,0.909
"beta_protocol[25, beta_32]",-0.315,0.068,-0.44,-0.184
"beta_protocol[25, beta_33]",-0.288,0.088,-0.454,-0.126
"beta_protocol[25, beta_34]",-0.083,0.075,-0.23,0.055
"beta_protocol[25, beta_35]",0.028,0.085,-0.117,0.206
"beta_protocol[25, beta_36]",0.023,0.082,-0.127,0.188
"beta_protocol[25, beta_37]",-0.002,0.052,-0.107,0.092
"beta_protocol[25, beta_38]",-0.181,0.061,-0.295,-0.068
"beta_protocol[25, beta_39]",-0.087,0.035,-0.152,-0.021
"beta_protocol[35, beta_0]",-0.291,0.053,-0.393,-0.198
"beta_protocol[35, beta_1]",-0.225,0.071,-0.362,-0.099
"beta_protocol[35, beta_2]",-0.133,0.05,-0.222,-0.035
"beta_protocol[35, beta_3]",0.213,0.048,0.123,0.307
"beta_protocol[35, beta_4]",-0.271,0.043,-0.348,-0.19
"beta_protocol[35, beta_5]",-0.242,0.061,-0.357,-0.127
"beta_protocol[35, beta_6]",-0.31,0.066,-0.44,-0.184
"beta_protocol[35, beta_7]",0.089,0.083,-0.073,0.247
"beta_protocol[35, beta_8]",-0.349,0.057,-0.452,-0.242
"beta_protocol[35, beta_9]",0.374,0.066,0.256,0.504
"beta_protocol[35, beta_10]",-0.124,0.06,-0.247,-0.022
"beta_protocol[35, beta_11]",0.188,0.099,0.005,0.377
"beta_protocol[35, beta_12]",0.187,0.061,0.069,0.297
"beta_protocol[35, beta_13]",0.604,0.104,0.411,0.797
"beta_protocol[35, beta_14]",-0.092,0.057,-0.203,0.008
"beta_protocol[35, beta_15]",-0.127,0.05,-0.224,-0.036
"beta_protocol[35, beta_16]",0.437,0.064,0.32,0.562
"beta_protocol[35, beta_17]",0.061,0.09,-0.085,0.247
"beta_protocol[35, beta_18]",0.374,0.036,0.305,0.445
"beta_protocol[35, beta_19]",0.047,0.089,-0.115,0.223
"beta_protocol[35, beta_20]",0.177,0.047,0.092,0.271
"beta_protocol[35, beta_21]",-0.407,0.103,-0.601,-0.222
"beta_protocol[35, beta_22]",0.159,0.065,0.038,0.282
"beta_protocol[35, beta_23]",-0.023,0.063,-0.135,0.095
"beta_protocol[35, beta_24]",0.335,0.07,0.199,0.461
"beta_protocol[35, beta_25]",0.759,0.114,0.559,0.984
"beta_protocol[35, beta_26]",0.169,0.048,0.084,0.262
"beta_protocol[35, beta_27]",0.034,0.072,-0.098,0.168
"beta_protocol[35, beta_28]",0.446,0.062,0.326,0.564
"beta_protocol[35, beta_29]",0.272,0.056,0.162,0.368
"beta_protocol[35, beta_30]",-0.45,0.079,-0.596,-0.301
"beta_protocol[35, beta_31]",0.67,0.105,0.475,0.871
"beta_protocol[35, beta_32]",-0.379,0.068,-0.503,-0.248
"beta_protocol[35, beta_33]",-0.24,0.097,-0.44,-0.073
"beta_protocol[35, beta_34]",-0.109,0.071,-0.244,0.023
"beta_protocol[35, beta_35]",-0.1,0.08,-0.266,0.042
"beta_protocol[35, beta_36]",0.015,0.076,-0.144,0.145
"beta_protocol[35, beta_37]",0.059,0.059,-0.047,0.17
"beta_protocol[35, beta_38]",-0.117,0.064,-0.241,-0.001
"beta_protocol[35, beta_39]",-0.086,0.034,-0.155,-0.028
"beta_protocol[22, beta_0]",-0.238,0.052,-0.335,-0.14
"beta_protocol[22, beta_1]",-0.291,0.073,-0.428,-0.152
"beta_protocol[22, beta_2]",-0.135,0.049,-0.225,-0.043
"beta_protocol[22, beta_3]",0.187,0.051,0.085,0.28
"beta_protocol[22, beta_4]",-0.285,0.043,-0.369,-0.209
"beta_protocol[22, beta_5]",-0.26,0.062,-0.379,-0.148
"beta_protocol[22, beta_6]",-0.301,0.062,-0.421,-0.19
"beta_protocol[22, beta_7]",0.114,0.081,-0.032,0.274
"beta_protocol[22, beta_8]",-0.387,0.059,-0.494,-0.278
"beta_protocol[22, beta_9]",0.347,0.051,0.256,0.447
"beta_protocol[22, beta_10]",-0.097,0.063,-0.218,0.015
"beta_protocol[22, beta_11]",0.277,0.111,0.085,0.503
"beta_protocol[22, beta_12]",0.187,0.062,0.071,0.301
"beta_protocol[22, beta_13]",0.639,0.133,0.397,0.897
"beta_protocol[22, beta_14]",-0.049,0.054,-0.146,0.059
"beta_protocol[22, beta_15]",-0.14,0.053,-0.25,-0.053
"beta_protocol[22, beta_16]",0.396,0.066,0.273,0.509
"beta_protocol[22, beta_17]",0.051,0.095,-0.11,0.25
"beta_protocol[22, beta_18]",0.375,0.037,0.304,0.443
"beta_protocol[22, beta_19]",-0.013,0.088,-0.181,0.144
"beta_protocol[22, beta_20]",0.162,0.046,0.067,0.25
"beta_protocol[22, beta_21]",-0.446,0.105,-0.652,-0.252
"beta_protocol[22, beta_22]",0.227,0.068,0.105,0.364
"beta_protocol[22, beta_23]",-0.03,0.064,-0.145,0.093
"beta_protocol[22, beta_24]",0.446,0.073,0.311,0.582
"beta_protocol[22, beta_25]",0.695,0.121,0.468,0.921
"beta_protocol[22, beta_26]",0.184,0.05,0.089,0.281
"beta_protocol[22, beta_27]",-0.099,0.1,-0.29,0.087
"beta_protocol[22, beta_28]",0.479,0.063,0.368,0.603
"beta_protocol[22, beta_29]",0.353,0.064,0.239,0.479
"beta_protocol[22, beta_30]",-0.478,0.088,-0.646,-0.311
"beta_protocol[22, beta_31]",0.597,0.112,0.382,0.808
"beta_protocol[22, beta_32]",-0.292,0.069,-0.419,-0.158
"beta_protocol[22, beta_33]",-0.099,0.109,-0.305,0.112
"beta_protocol[22, beta_34]",-0.067,0.075,-0.204,0.075
"beta_protocol[22, beta_35]",-0.129,0.074,-0.266,0.007
"beta_protocol[22, beta_36]",0.015,0.079,-0.134,0.162
"beta_protocol[22, beta_37]",0.088,0.067,-0.037,0.213
"beta_protocol[22, beta_38]",-0.115,0.063,-0.236,-0.005
"beta_protocol[22, beta_39]",-0.091,0.035,-0.164,-0.033
"beta_protocol[27, beta_0]",-0.162,0.063,-0.282,-0.047
"beta_protocol[27, beta_1]",-0.313,0.083,-0.459,-0.146
"beta_protocol[27, beta_2]",-0.171,0.064,-0.286,-0.047
"beta_protocol[27, beta_3]",0.179,0.063,0.064,0.304
"beta_protocol[27, beta_4]",-0.243,0.058,-0.344,-0.128
"beta_protocol[27, beta_5]",-0.213,0.068,-0.349,-0.092
"beta_protocol[27, beta_6]",-0.269,0.079,-0.427,-0.129
"beta_protocol[27, beta_7]",0.259,0.098,0.082,0.452
"beta_protocol[27, beta_8]",-0.375,0.074,-0.506,-0.231
"beta_protocol[27, beta_9]",0.249,0.07,0.119,0.391
"beta_protocol[27, beta_10]",-0.01,0.075,-0.149,0.129
"beta_protocol[27, beta_11]",0.73,0.15,0.475,1.02
"beta_protocol[27, beta_12]",0.214,0.074,0.076,0.356
"beta_protocol[27, beta_13]",0.638,0.154,0.356,0.941
"beta_protocol[27, beta_14]",-0.171,0.07,-0.299,-0.036
"beta_protocol[27, beta_15]",-0.195,0.077,-0.333,-0.047
"beta_protocol[27, beta_16]",0.478,0.078,0.335,0.629
"beta_protocol[27, beta_17]",-0.169,0.113,-0.39,0.045
"beta_protocol[27, beta_18]",0.415,0.061,0.3,0.525
"beta_protocol[27, beta_19]",-0.034,0.104,-0.23,0.165
"beta_protocol[27, beta_20]",0.141,0.055,0.037,0.239
"beta_protocol[27, beta_21]",-0.413,0.117,-0.626,-0.192
"beta_protocol[27, beta_22]",0.098,0.079,-0.048,0.25
"beta_protocol[27, beta_23]",-0.087,0.092,-0.254,0.096
"beta_protocol[27, beta_24]",0.177,0.088,0.005,0.333
"beta_protocol[27, beta_25]",0.775,0.137,0.481,1.012
"beta_protocol[27, beta_26]",0.165,0.058,0.053,0.265
"beta_protocol[27, beta_27]",0.078,0.132,-0.17,0.329
"beta_protocol[27, beta_28]",0.34,0.082,0.191,0.505
"beta_protocol[27, beta_29]",0.173,0.073,0.038,0.316
"beta_protocol[27, beta_30]",-0.216,0.095,-0.39,-0.04
"beta_protocol[27, beta_31]",0.268,0.132,0.016,0.502
"beta_protocol[27, beta_32]",-0.291,0.078,-0.446,-0.149
"beta_protocol[27, beta_33]",-0.314,0.116,-0.542,-0.099
"beta_protocol[27, beta_34]",-0.224,0.083,-0.378,-0.068
"beta_protocol[27, beta_35]",-0.235,0.086,-0.394,-0.077
"beta_protocol[27, beta_36]",0.144,0.096,-0.036,0.327
"beta_protocol[27, beta_37]",0.142,0.076,0.018,0.304
"beta_protocol[27, beta_38]",-0.16,0.075,-0.296,-0.02
"beta_protocol[27, beta_39]",-0.051,0.044,-0.136,0.032
"beta_protocol[2, beta_0]",-0.233,0.051,-0.321,-0.124
"beta_protocol[2, beta_1]",-0.205,0.067,-0.33,-0.076
"beta_protocol[2, beta_2]",-0.147,0.045,-0.232,-0.062
"beta_protocol[2, beta_3]",0.185,0.045,0.098,0.272
"beta_protocol[2, beta_4]",-0.269,0.041,-0.336,-0.182
"beta_protocol[2, beta_5]",-0.236,0.055,-0.341,-0.131
"beta_protocol[2, beta_6]",-0.32,0.062,-0.442,-0.21
"beta_protocol[2, beta_7]",0.079,0.071,-0.049,0.227
"beta_protocol[2, beta_8]",-0.379,0.055,-0.483,-0.274
"beta_protocol[2, beta_9]",0.358,0.052,0.252,0.448
"beta_protocol[2, beta_10]",-0.083,0.056,-0.191,0.021
"beta_protocol[2, beta_11]",0.269,0.099,0.075,0.448
"beta_protocol[2, beta_12]",0.214,0.06,0.095,0.32
"beta_protocol[2, beta_13]",0.504,0.102,0.323,0.701
"beta_protocol[2, beta_14]",-0.061,0.05,-0.155,0.029
"beta_protocol[2, beta_15]",-0.11,0.048,-0.197,-0.018
"beta_protocol[2, beta_16]",0.442,0.059,0.335,0.556
"beta_protocol[2, beta_17]",-0.045,0.082,-0.21,0.097
"beta_protocol[2, beta_18]",0.393,0.041,0.32,0.466
"beta_protocol[2, beta_19]",-0.013,0.08,-0.159,0.135
"beta_protocol[2, beta_20]",0.144,0.044,0.062,0.226
"beta_protocol[2, beta_21]",-0.453,0.091,-0.62,-0.283
"beta_protocol[2, beta_22]",0.149,0.065,0.025,0.277
"beta_protocol[2, beta_23]",-0.017,0.058,-0.128,0.086
"beta_protocol[2, beta_24]",0.443,0.073,0.32,0.589
"beta_protocol[2, beta_25]",0.8,0.104,0.602,0.992
"beta_protocol[2, beta_26]",0.134,0.049,0.038,0.217
"beta_protocol[2, beta_27]",0.301,0.085,0.155,0.47
"beta_protocol[2, beta_28]",0.43,0.059,0.316,0.541
"beta_protocol[2, beta_29]",0.276,0.054,0.167,0.369
"beta_protocol[2, beta_30]",-0.486,0.073,-0.631,-0.355
"beta_protocol[2, beta_31]",0.476,0.101,0.292,0.663
"beta_protocol[2, beta_32]",-0.315,0.064,-0.443,-0.203
"beta_protocol[2, beta_33]",-0.275,0.087,-0.428,-0.106
"beta_protocol[2, beta_34]",-0.074,0.065,-0.195,0.052
"beta_protocol[2, beta_35]",-0.079,0.065,-0.205,0.037
"beta_protocol[2, beta_36]",0.029,0.068,-0.096,0.163
"beta_protocol[2, beta_37]",0.002,0.05,-0.087,0.099
"beta_protocol[2, beta_38]",-0.101,0.056,-0.195,0.016
"beta_protocol[2, beta_39]",-0.073,0.031,-0.139,-0.017
"beta_protocol[47, beta_0]",-0.129,0.066,-0.258,-0.013
"beta_protocol[47, beta_1]",-0.128,0.069,-0.258,0.005
"beta_protocol[47, beta_2]",-0.11,0.071,-0.234,0.031
"beta_protocol[47, beta_3]",0.109,0.07,-0.026,0.236
"beta_protocol[47, beta_4]",-0.11,0.061,-0.234,-0.007
"beta_protocol[47, beta_5]",-0.195,0.06,-0.307,-0.087
"beta_protocol[47, beta_6]",-0.108,0.07,-0.248,0.017
"beta_protocol[47, beta_7]",-0.076,0.095,-0.252,0.111
"beta_protocol[47, beta_8]",-0.177,0.078,-0.324,-0.035
"beta_protocol[47, beta_9]",0.13,0.065,0.006,0.253
"beta_protocol[47, beta_10]",-0.115,0.065,-0.233,0.002
"beta_protocol[47, beta_11]",0.302,0.118,0.078,0.523
"beta_protocol[47, beta_12]",0.087,0.063,-0.032,0.205
"beta_protocol[47, beta_13]",0.371,0.112,0.154,0.572
"beta_protocol[47, beta_14]",-0.123,0.067,-0.247,0.005
"beta_protocol[47, beta_15]",-0.086,0.076,-0.227,0.063
"beta_protocol[47, beta_16]",0.474,0.078,0.32,0.618
"beta_protocol[47, beta_17]",0.153,0.111,-0.056,0.369
"beta_protocol[47, beta_18]",0.245,0.065,0.131,0.372
"beta_protocol[47, beta_19]",0.15,0.09,-0.023,0.313
"beta_protocol[47, beta_20]",0.071,0.055,-0.03,0.175
"beta_protocol[47, beta_21]",-0.2,0.129,-0.446,0.042
"beta_protocol[47, beta_22]",-0.004,0.07,-0.124,0.138
"beta_protocol[47, beta_23]",-0.208,0.098,-0.391,-0.033
"beta_protocol[47, beta_24]",0.212,0.071,0.074,0.341
"beta_protocol[47, beta_25]",0.801,0.128,0.546,1.03
"beta_protocol[47, beta_26]",0.16,0.059,0.051,0.272
"beta_protocol[47, beta_27]",0.462,0.134,0.221,0.712
"beta_protocol[47, beta_28]",0.345,0.077,0.2,0.489
"beta_protocol[47, beta_29]",0.245,0.07,0.112,0.369
"beta_protocol[47, beta_30]",-0.502,0.082,-0.657,-0.345
"beta_protocol[47, beta_31]",0.189,0.115,-0.028,0.4
"beta_protocol[47, beta_32]",-0.329,0.067,-0.456,-0.204
"beta_protocol[47, beta_33]",-0.602,0.11,-0.819,-0.417
"beta_protocol[47, beta_34]",-0.176,0.075,-0.315,-0.035
"beta_protocol[47, beta_35]",-0.042,0.091,-0.206,0.128
"beta_protocol[47, beta_36]",0.161,0.085,-0.001,0.318
"beta_protocol[47, beta_37]",-0.031,0.066,-0.156,0.087
"beta_protocol[47, beta_38]",-0.014,0.07,-0.145,0.119
"beta_protocol[47, beta_39]",-0.08,0.04,-0.16,-0.008
"beta_protocol[5, beta_0]",-0.249,0.052,-0.345,-0.148
"beta_protocol[5, beta_1]",-0.292,0.072,-0.43,-0.156
"beta_protocol[5, beta_2]",-0.181,0.049,-0.281,-0.1
"beta_protocol[5, beta_3]",0.204,0.051,0.111,0.307
"beta_protocol[5, beta_4]",-0.274,0.043,-0.346,-0.189
"beta_protocol[5, beta_5]",-0.298,0.061,-0.413,-0.191
"beta_protocol[5, beta_6]",-0.234,0.066,-0.354,-0.106
"beta_protocol[5, beta_7]",0.168,0.084,0.018,0.33
"beta_protocol[5, beta_8]",-0.388,0.058,-0.495,-0.277
"beta_protocol[5, beta_9]",0.309,0.056,0.2,0.412
"beta_protocol[5, beta_10]",-0.081,0.062,-0.201,0.036
"beta_protocol[5, beta_11]",0.187,0.102,0.003,0.386
"beta_protocol[5, beta_12]",0.183,0.059,0.068,0.293
"beta_protocol[5, beta_13]",0.782,0.127,0.527,1.01
"beta_protocol[5, beta_14]",-0.052,0.055,-0.152,0.054
"beta_protocol[5, beta_15]",-0.123,0.052,-0.23,-0.023
"beta_protocol[5, beta_16]",0.513,0.074,0.38,0.657
"beta_protocol[5, beta_17]",-0.017,0.084,-0.19,0.137
"beta_protocol[5, beta_18]",0.37,0.037,0.301,0.44
"beta_protocol[5, beta_19]",-0.002,0.084,-0.162,0.154
"beta_protocol[5, beta_20]",0.178,0.045,0.092,0.263
"beta_protocol[5, beta_21]",-0.438,0.1,-0.631,-0.254
"beta_protocol[5, beta_22]",0.136,0.064,0.012,0.256
"beta_protocol[5, beta_23]",-0.046,0.066,-0.164,0.083
"beta_protocol[5, beta_24]",0.339,0.074,0.194,0.48
"beta_protocol[5, beta_25]",0.978,0.118,0.76,1.203
"beta_protocol[5, beta_26]",0.18,0.047,0.09,0.272
"beta_protocol[5, beta_27]",0.259,0.099,0.081,0.452
"beta_protocol[5, beta_28]",0.487,0.062,0.375,0.613
"beta_protocol[5, beta_29]",0.301,0.054,0.2,0.405
"beta_protocol[5, beta_30]",-0.543,0.079,-0.693,-0.395
"beta_protocol[5, beta_31]",0.422,0.102,0.229,0.606
"beta_protocol[5, beta_32]",-0.458,0.069,-0.591,-0.333
"beta_protocol[5, beta_33]",-0.329,0.106,-0.532,-0.13
"beta_protocol[5, beta_34]",-0.181,0.077,-0.329,-0.043
"beta_protocol[5, beta_35]",-0.14,0.071,-0.273,-0.006
"beta_protocol[5, beta_36]",0.23,0.087,0.077,0.401
"beta_protocol[5, beta_37]",-0.033,0.057,-0.139,0.074
"beta_protocol[5, beta_38]",-0.16,0.065,-0.28,-0.034
"beta_protocol[5, beta_39]",-0.073,0.033,-0.137,-0.01
"beta_protocol[36, beta_0]",-0.266,0.055,-0.375,-0.166
"beta_protocol[36, beta_1]",-0.285,0.074,-0.425,-0.15
"beta_protocol[36, beta_2]",-0.169,0.048,-0.269,-0.079
"beta_protocol[36, beta_3]",0.219,0.052,0.123,0.319
"beta_protocol[36, beta_4]",-0.28,0.043,-0.363,-0.202
"beta_protocol[36, beta_5]",-0.288,0.066,-0.412,-0.159
"beta_protocol[36, beta_6]",-0.28,0.062,-0.395,-0.163
"beta_protocol[36, beta_7]",0.147,0.086,-0.006,0.318
"beta_protocol[36, beta_8]",-0.382,0.06,-0.501,-0.277
"beta_protocol[36, beta_9]",0.326,0.05,0.236,0.419
"beta_protocol[36, beta_10]",-0.064,0.065,-0.182,0.064
