,mean,sd,hdi_3%,hdi_97%
g_beta_4[0],-0.272,0.026,-0.316,-0.223
g_beta_4[1],0.034,0.05,-0.067,0.119
g_beta_4[2],0.129,0.049,0.042,0.216
beta_4[1],-0.274,0.034,-0.331,-0.208
beta_4[18],-0.271,0.032,-0.327,-0.211
beta_4[39],-0.145,0.043,-0.227,-0.075
beta_4[8],-0.235,0.052,-0.343,-0.146
beta_4[10],-0.14,0.042,-0.214,-0.061
beta_4[0],-0.236,0.054,-0.335,-0.135
beta_4[19],-0.268,0.034,-0.329,-0.208
beta_4[12],-0.143,0.042,-0.224,-0.071
beta_4[7],-0.271,0.035,-0.335,-0.209
beta_4[6],-0.243,0.052,-0.342,-0.144
beta_4[21],-0.278,0.035,-0.342,-0.215
beta_4[20],-0.268,0.033,-0.324,-0.204
beta_4[33],-0.273,0.033,-0.332,-0.212
beta_4[45],-0.278,0.034,-0.338,-0.215
beta_4[17],-0.269,0.036,-0.333,-0.207
beta_4[29],-0.276,0.034,-0.332,-0.207
beta_4[40],-0.142,0.043,-0.22,-0.066
beta_4[38],-0.273,0.033,-0.328,-0.207
beta_4[24],-0.142,0.041,-0.217,-0.065
beta_4[34],-0.271,0.033,-0.325,-0.206
beta_4[44],-0.279,0.036,-0.341,-0.211
beta_4[30],-0.232,0.054,-0.334,-0.133
beta_4[23],-0.267,0.034,-0.325,-0.205
beta_4[32],-0.235,0.053,-0.341,-0.143
beta_4[15],-0.268,0.033,-0.333,-0.212
beta_4[4],-0.27,0.033,-0.326,-0.205
beta_4[26],-0.14,0.043,-0.217,-0.066
beta_4[42],-0.242,0.051,-0.347,-0.156
beta_4[13],-0.27,0.034,-0.33,-0.211
beta_4[14],-0.276,0.034,-0.339,-0.211
beta_4[43],-0.264,0.035,-0.324,-0.198
beta_4[3],-0.272,0.034,-0.331,-0.207
beta_4[49],-0.269,0.035,-0.329,-0.204
beta_4[46],-0.112,0.06,-0.236,-0.017
beta_4[37],-0.27,0.032,-0.326,-0.21
beta_4[31],-0.276,0.033,-0.333,-0.215
beta_4[9],-0.24,0.052,-0.34,-0.145
beta_4[16],-0.274,0.033,-0.337,-0.213
beta_4[28],-0.267,0.036,-0.331,-0.202
beta_4[41],-0.272,0.033,-0.329,-0.211
beta_4[11],-0.138,0.042,-0.212,-0.059
beta_4[25],-0.271,0.035,-0.332,-0.207
beta_4[35],-0.271,0.033,-0.331,-0.21
beta_4[22],-0.278,0.034,-0.331,-0.209
beta_4[27],-0.238,0.052,-0.339,-0.144
beta_4[2],-0.271,0.032,-0.33,-0.214
beta_4[47],-0.108,0.06,-0.231,-0.006
beta_4[5],-0.271,0.034,-0.33,-0.208
beta_4[36],-0.274,0.033,-0.329,-0.208
beta_4[48],-0.273,0.033,-0.331,-0.211
g_beta_5[0],-0.228,0.025,-0.273,-0.183
g_beta_5[1],0.0,0.047,-0.083,0.088
g_beta_5[2],0.092,0.044,0.003,0.176
beta_5[1],-0.238,0.043,-0.323,-0.17
beta_5[18],-0.229,0.04,-0.308,-0.154
beta_5[39],-0.151,0.055,-0.251,-0.051
beta_5[8],-0.249,0.055,-0.359,-0.152
beta_5[10],-0.115,0.055,-0.219,-0.016
beta_5[0],-0.219,0.051,-0.312,-0.121
beta_5[19],-0.226,0.043,-0.305,-0.129
beta_5[12],-0.111,0.057,-0.214,-0.001
beta_5[7],-0.216,0.042,-0.29,-0.131
beta_5[6],-0.225,0.049,-0.317,-0.133
beta_5[21],-0.227,0.042,-0.313,-0.154
beta_5[20],-0.22,0.04,-0.295,-0.142
beta_5[33],-0.229,0.038,-0.31,-0.165
beta_5[45],-0.237,0.046,-0.332,-0.159
beta_5[17],-0.217,0.044,-0.292,-0.129
beta_5[29],-0.237,0.041,-0.316,-0.167
beta_5[40],-0.144,0.051,-0.241,-0.048
beta_5[38],-0.226,0.039,-0.3,-0.151
beta_5[24],-0.134,0.048,-0.217,-0.04
beta_5[34],-0.224,0.038,-0.301,-0.155
beta_5[44],-0.244,0.043,-0.328,-0.174
beta_5[30],-0.219,0.052,-0.31,-0.116
beta_5[23],-0.229,0.043,-0.315,-0.156
beta_5[32],-0.23,0.049,-0.322,-0.134
beta_5[15],-0.229,0.039,-0.3,-0.16
beta_5[4],-0.223,0.037,-0.294,-0.154
beta_5[26],-0.15,0.051,-0.243,-0.049
beta_5[42],-0.222,0.049,-0.317,-0.129
beta_5[13],-0.226,0.039,-0.3,-0.158
beta_5[14],-0.236,0.043,-0.324,-0.157
beta_5[43],-0.225,0.04,-0.302,-0.15
beta_5[3],-0.218,0.04,-0.292,-0.141
beta_5[49],-0.221,0.039,-0.3,-0.147
beta_5[46],-0.148,0.059,-0.26,-0.04
beta_5[37],-0.221,0.039,-0.296,-0.148
beta_5[31],-0.237,0.04,-0.315,-0.168
beta_5[9],-0.216,0.052,-0.316,-0.119
beta_5[16],-0.232,0.039,-0.304,-0.161
beta_5[28],-0.241,0.042,-0.327,-0.172
